NodeID,PositionX,PositionY,PositionZ,Size,Group
F1,4.075964,4.724651,4.693624,9,7
彩妆,0.4888984,7.089158,7.655152,2,6
英雄联盟,4.399905,6.83458,7.895287,9,8
欧美音乐,3.204699,6.946772,7.823332,12,16
安卓手机,6.652966,7.171641,6.220667,2,11
填词,1.295957,0.2647132,3.538481,2,17
玄凤鹦鹉,5.689775,2.934191,3.563321,3,1
学生时代,0.3681549,5.145904,0.6046014,2,5
学习,1.53351,3.609128,2.402029,19,10
家常菜,2.851398,2.818349,6.176282,10,12
kpop,7.47041,4.169848,3.004596,4,3
音乐,3.042404,7.079176,7.760653,112,16
狼人杀,3.306827,3.128548,2.342402,2,2
职业职场,1.778536,4.065108,2.062856,11,10
Temple,3.878204,4.501702,5.416981,2,7
林俊杰,2.564058,6.871756,7.588509,2,16
绝区零,0.2869847,6.973773,6.429334,7,6
植物娘大战僵尸,1.024848,0.9927601,3.995695,2,17
热血,3.816828,2.244698,2.063199,7,2
奇闻,1.956059,2.937064,2.183787,4,10
Natural,4.039838,7.408435,7.375207,2,8
乒乓球,7.586672,3.476138,1.410915,2,3
COVER,3.258822,7.178247,8.164168,4,16
北京,7.569961,7.447875,0.6796576,5,9
恋爱,3.360665,2.718044,2.38974,4,2
制作,7.413452,7.484183,1.789855,6,9
T台,1.325472,6.588516,6.787415,3,6
国产电影,1.038588,4.876852,4.189964,2,4
Purple Passion,2.735433,8.059104,7.365975,2,16
悬疑,-0.1521972,4.159895,3.838699,5,4
狗狗,5.829471,2.236198,3.939019,9,1
