NodeID,PositionX,PositionY,PositionZ,Size,Group
游戏,4.684269,6.775804,7.396548,111,8
桌游棋牌,4.8604,6.619379,8.208125,13,8
三国杀,4.628094,6.431996,8.12155,4,8
科技,6.775392,7.053014,7.002256,101,11
AI,6.721047,7.077616,7.57115,23,11
数码,6.779968,7.288467,6.686352,41,11
苹果,6.631809,7.14658,6.699634,6,11
华为,6.381236,7.259916,6.682119,10,11
雷军,6.355115,7.200849,6.453652,3,11
电脑装机,7.100917,7.378439,6.596954,7,11
充电宝,7.031693,6.703644,6.633874,2,11
F1,4.075964,4.724651,4.693624,9,7
改装玩车,3.338733,4.644831,4.789788,11,7
超跑,3.300539,4.539012,4.61429,4,7
摩托车,2.584992,4.376186,5.021046,12,7
电影,0.1955693,4.256165,4.162585,21,4
剧情,-0.2335303,4.842947,3.526051,7,4
影视整活,0.3724973,4.08681,4.293344,13,4
影评杂谈,0.1779947,3.845666,4.28027,5,4
财经,2.152637,3.590419,1.518209,12,10
金融,2.090357,3.553489,1.411182,7,10
投资,2.294634,3.460145,1.445823,6,10
摄影,1.996283,2.78883,1.252942,20,10
调色教程,2.376374,2.867745,1.415943,3,10
PS,2.405263,2.773845,1.281635,4,10
竞技体育,1.632768,3.007968,2.82711,11,15
运动,2.220417,2.994999,2.969162,104,15
体育,1.985606,2.979714,3.231186,19,15
克罗斯,2.794546,3.201493,3.528696,4,15
足球,2.330502,2.996922,3.663836,26,15
